dtst,x,y,LAD11NM
clmts,18140,3,Greenwich
clmts,18140,3.4,Hackney
clmts,18140,3.6,Hammersmith & Fulham
clmts,18140,3.4,Haringey
clmts,18140,2,Harrow
clmts,18140,2.4,Havering
clmts,18140,2.1,Hillingdon
clmts,18140,3.5,Hounslow
clmts,18140,3,Islington
clmts,18140,2.2,Kensington & Chelsea
clmts,18140,1.8,Kingston upon Thames
clmts,18140,3.6,Lambeth
clmts,18140,3.7,Lewisham
clmts,18140,2.5,Merton
clmts,18140,2.9,Newham
clmts,18140,2.3,Redbridge
clmts,18140,1.7,Richmond upon Thames
clmts,18140,3.7,Southwark
clmts,18140,2.4,Sutton
clmts,18140,3.3,Tower Hamlets
clmts,18140,3.1,Waltham Forest
clmts,18140,2,Wandsworth
clmts,18140,2,Westminster
clmts,18140,2.8,United Kingdom
clmts,18170,3.9,Barking & Dagenham
clmts,18170,2.4,Barnet
clmts,18170,2,Bexley
clmts,18170,3.2,Brent
clmts,18170,2,Bromley
clmts,18170,2.1,Camden
clmts,18170,1.2,City of London
clmts,18170,4.3,Croydon
clmts,18170,3.4,Ealing
clmts,18170,3.3,Enfield
clmts,18170,3.1,Greenwich
clmts,18170,3.5,Hackney
clmts,18170,3.6,Hammersmith & Fulham
clmts,18170,3.5,Haringey
clmts,18170,2,Harrow
clmts,18170,2.4,Havering
clmts,18170,2.2,Hillingdon
clmts,18170,3.5,Hounslow
clmts,18170,3.1,Islington
clmts,18170,2.2,Kensington & Chelsea
clmts,18170,1.7,Kingston upon Thames
clmts,18170,3.6,Lambeth
clmts,18170,3.8,Lewisham
clmts,18170,2.6,Merton
clmts,18170,3,Newham
clmts,18170,2.4,Redbridge
clmts,18170,1.7,Richmond upon Thames
clmts,18170,3.7,Southwark
clmts,18170,2.4,Sutton
clmts,18170,3.4,Tower Hamlets
clmts,18170,3.2,Waltham Forest
clmts,18170,2,Wandsworth
clmts,18170,2,Westminster
clmts,18170,2.8,United Kingdom
clmts,18201,4,Barking & Dagenham
clmts,18201,2.4,Barnet
clmts,18201,2.1,Bexley
clmts,18201,3.3,Brent
