dataset,xwhich,xvarchar,xvardt,yval,yvllb,text
ca_rp,2,,18618,1015,Self-isolating: getting benefits,22 Dec
ca_rp,2,,18617,1171,Self-isolating: getting benefits,21 Dec
ca_rp,2,,18616,917,Self-isolating: getting benefits,20 Dec
ca_rp,2,,18615,832,Self-isolating: getting benefits,19 Dec
ca_rp,2,,18614,1134,Self-isolating: getting benefits,18 Dec
ca_rp,2,,18613,1243,Self-isolating: getting benefits,17 Dec
ca_rp,2,,18612,1341,Self-isolating: getting benefits,16 Dec
ca_rp,2,,18611,1381,Self-isolating: getting benefits,15 Dec
ca_rp,2,,18610,1666,Self-isolating: getting benefits,14 Dec
ca_rp,2,,18609,1123,Self-isolating: getting benefits,13 Dec
ca_rp,2,,18608,866,Self-isolating: getting benefits,12 Dec
ca_rp,2,,18607,1366,Self-isolating: getting benefits,11 Dec
ca_rp,2,,18606,1886,Self-isolating: getting benefits,10 Dec
ca_rp,2,,18605,1436,Self-isolating: getting benefits,09 Dec
ca_rp,2,,18604,1373,Self-isolating: getting benefits,08 Dec
ca_rp,2,,18603,1514,Self-isolating: getting benefits,07 Dec
ca_rp,2,,18602,1100,Self-isolating: getting benefits,06 Dec
ca_rp,2,,18601,889,Self-isolating: getting benefits,05 Dec
ca_rp,2,,18600,1213,Self-isolating: getting benefits,04 Dec
ca_rp,2,,18599,1465,Self-isolating: getting benefits,03 Dec
ca_rp,2,,18598,1562,Self-isolating: getting benefits,02 Dec
prvspc_eth,1,All,NA,0.1918371850130576,,
prvspc_eth,1,White,NA,0.18,,
prvspc_eth,1,Indian,NA,0.11,,
prvspc_eth,1,Pakistani and Bangladeshi,NA,0.2,,
prvspc_eth,1,Black,NA,0.22,,
prvspc_eth,1,Other and Mixed,NA,0.28,,
prvspc_age,1,All,NA,0.1918371850130576,,
prvspc_age,1,18-24,NA,0.24,,
prvspc_age,1,25-49,NA,0.21,,
prvspc_age,1,50-64,NA,0.18,,
prvspc_age,1,65+,NA,0.1,,
empsx_gap,1,2012,NA,75.5,Employment rate males,
empsx_gap,1,2012,NA,61,Employment rate females,
empsx_gap,1,2013,NA,76.6,Employment rate males,
empsx_gap,1,2013,NA,62.5,Employment rate females,
empsx_gap,1,2014,NA,78.7,Employment rate males,
empsx_gap,1,2014,NA,64,Employment rate females,
empsx_gap,1,2015,NA,79.4,Employment rate males,
empsx_gap,1,2015,NA,66.4,Employment rate females,
empsx_gap,1,2016,NA,80.4,Employment rate males,
empsx_gap,1,2016,NA,66.9,Employment rate females,
empsx_gap,1,2017,NA,80.2,Employment rate males,
empsx_gap,1,2017,NA,67.6,Employment rate females,
empsx_gap,1,2018,NA,80.5,Employment rate males,
empsx_gap,1,2018,NA,68,Employment rate females,
empsx_gap,1,2019,NA,79.9,Employment rate males,
empsx_gap,1,2019,NA,69,Employment rate females,
empdis_gap,1,2011,NA,45,Employment rate disabled,
empdis_gap,1,2011,NA,71.8,Employment rate not disabled,
empdis_gap,1,2012,NA,47.1,Employment rate disabled,
empdis_gap,1,2012,NA,72.7,Employment rate not disabled,
empdis_gap,1,2013,NA,NA,Employment rate disabled,
empdis_gap,1,2013,NA,NA,Employment rate not disabled,
empdis_gap,1,2014,NA,48.9,Employment rate disabled,
empdis_gap,1,2014,NA,75.8,Employment rate not disabled,
empdis_gap,1,2015,NA,49.9,Employment rate disabled,
